question,answer_llm,answer_orig,document
Where can I read more about uv’s link mode and this hardlink fallback behavior?,You can read more about uv’s link mode and this fallback behavior in the official uv documentation: https://docs.astral.sh/uv/,"No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"Why am I getting ""dotenv is not recognized"" in Module 1, and what package do I need to add?","You’re seeing that because the `dotenv` module comes from the `python-dotenv` package, which isn’t installed by default.

Install:

```bash
uv add python-dotenv
```

Then in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you’re using pip instead:

```bash
pip install python-dotenv
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How do I fix the missing dotenv error when working on the RAG homework?,"Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then load it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What should I install if Python says dotenv isn't available?,"Install `python-dotenv`:

```bash
pip install python-dotenv
```

Then use:

```python
from dotenv import load_dotenv
load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing the dotenv package, how do I load my .env file in Python?","Use `python-dotenv` and call:

```python
from dotenv import load_dotenv

load_dotenv()
```

This loads your `.env` file into the environment.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Is there a specific pip/uv package for using load_dotenv in this course?,"Yes — the package you want is **`python-dotenv`**.

Install it with:

```bash
uv add python-dotenv
```

Or with pip:

```bash
pip install python-dotenv
```

Then use:

```python
from dotenv import load_dotenv

load_dotenv()
```

There isn’t a separate package specifically called `load_dotenv`; it comes from `python-dotenv`.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,"Yes. Codespaces is just the easiest way to start with the same environment, but you can run the course locally if you’re comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you do run it locally, make sure to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required, or is it just the easiest option to get started?","Codespaces is **not required**. It’s just the **easiest way to get started** because everyone begins with the same environment.

You can also run the course **locally** if you’re comfortable setting up the needed tools like Python, `uv`, Jupyter, Docker, and anything else required for the module.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
What do I need installed if I want to run the module locally?,"If you want to run the module locally, you need to have **Python, `uv`, Jupyter, Docker**, and any other tools required by that module.

If you want, I can also help you figure out the exact setup for a specific module.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
Will it be okay to use my own Python/Jupyter/Docker setup for the course?,"Yes. You can run the course locally with your own Python, Jupyter, and Docker setup, as long as you’re comfortable setting up the needed tools and keep your environment reproducible. Codespaces is just the easiest way to start with the same environment.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I run everything on my laptop, do I need to keep notes so the setup can be reproduced later?","Yes. If you run the course locally, you should document your setup and keep it reproducible for later.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I keep working in Codespaces but never commit, is my code still saved anywhere or can I lose it later?","Your code is saved inside the Codespaces Linux VM, even if you don’t commit it.

But you should still commit regularly, because Codespaces can stop, disconnect, be rebuilt, or be deleted later. If that happens, uncommitted work can be lost.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Where does my uncommitted code live in GitHub Codespaces, and is it safe if the session stops?","Your uncommitted code lives inside the Codespaces Linux VM. It is usually safe if the session just stops or disconnects, but you should still commit regularly because uncommitted changes can be lost if the codespace is deleted or recreated.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Do I need to commit often in Codespaces, or does it automatically keep my changes forever?","No, Codespaces does **not** automatically keep your changes forever.

Your code is saved in the Codespaces Linux VM if you don’t commit, but you should still **commit regularly**. Codespaces can stop, disconnect, or be deleted, and uncommitted changes can be lost if that happens.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What happens to files I edited in a Codespace if the VM gets stopped or the workspace is deleted?,"Uncommitted edits are stored in the Codespaces Linux VM. They usually survive a stop/start, but if the VM or workspace is deleted, those changes are lost.

To keep your work safe, commit and push it to your GitHub repository regularly.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Should I push my work to GitHub right away in Codespaces, or can I just leave it uncommitted for a while?","You can leave it uncommitted for a while — code saved in Codespaces stays in the Codespaces Linux VM.

But you should still commit and push regularly, because Codespaces can stop, disconnect, be deleted, or be recreated later, and uncommitted work can be lost in those cases.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,"WSL2 isn’t using all of your PC’s RAM. It only has access to the amount allocated to WSL2, which may be less than your total system memory. That’s why it reports that the model needs more memory than is available.

To give WSL2 more RAM:

1. Create a `.wslconfig` file in:
   `C:\Users\YourUsername\.wslconfig`

2. Add something like:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Check the available memory in WSL with:
   ```bash
   free
   ```

If you want, I can also help you choose a good memory value for your machine.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I give WSL2 more RAM so Ollama or the model can run?,"Create a `.wslconfig` file in your Windows user profile folder:

`C:\Users\YourUsername\.wslconfig`

Add, for example:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, check the available memory inside WSL with `free`.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where do I put the .wslconfig file on Windows to change WSL2 memory?,"Put the `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

For example, if your username is `Alice`, it would be:

`C:\Users\Alice\.wslconfig`","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What exact setting do I need in .wslconfig to increase WSL2 memory limit?,"Use this setting in your `.wslconfig`:

```ini
[wsl2]
memory=8GB
```

Then run:

```bash
wsl --shutdown
```

to apply the change.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, what do I need to restart or check to make sure it worked?","Restart WSL with:

```bash
wsl --shutdown
```

Then check inside WSL with the `free` command to verify the new memory setting took effect.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
My GitHub Codespace is stuck on Finishing up and never opens — what’s the quickest thing to try first?,"The quickest first thing to try is:

1. Go to **github.com/codespaces**
2. **Stop** the codespace
3. **Start it again**

If it’s still stuck on “Finishing up,” try opening it in the **browser** instead of desktop VS Code, or use a different browser.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t reconnect, should I open it in the browser or switch browsers, and does that usually help?","Yes — if your Codespace won’t reconnect, try opening it in the **browser** first, or switch to a different browser like **Edge, Chrome, or Brave**. According to the course notes, that **usually helps in many cases**, though there’s no guaranteed fix.

If it still won’t connect, the next step is to stop and restart the codespace from `github.com/codespaces`.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, even though the repo is still there?","Because a **rebuild** or a **brand-new Codespace** starts from a **clean image**. Your repository in `/workspaces` is still there, but anything installed **outside your project** (system/global setup) may be lost.

So the repo remains, but the environment itself is reset. Reinstalling the project dependencies is usually quick with `uv`:

- `uv sync`
- `uv add ...`

Also, commit and push your work often, since uncommitted changes can be lost if you delete or recreate the Codespace.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Do files in /workspaces survive a stop/start, and what actually gets lost if I delete or recreate the Codespace?","Yes — files in `/workspaces` persist across a stop/start of the Codespace.

What gets lost is:

- **If you delete or recreate the Codespace:** any **uncommitted changes** are lost.
- **System/global installs outside your project** may also be lost on a rebuild or brand-new Codespace.

Your repo and code inside `/workspaces` survive stop/start, but you should still **commit and push often** so your work is safe.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do if Codespaces keeps acting flaky — is there a local setup option for the course?,"Yes — if Codespaces keeps acting flaky, you can run the course locally instead.

Codespaces is just the easiest way to start with the same environment. Locally, you’ll need to set up Python, `uv`, Jupyter, Docker, and any other tools required for the module. If you go this route, make sure to document your setup and keep it reproducible.

If you want, I can also help you with the general Codespaces workarounds from the course notes.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Can I swap OpenAI for something else in the RAG module, or is the course locked to OpenAI only?","Yes — the course is **not locked to OpenAI**.

You can use **any LLM provider** that works for you, including:
- OpenAI-compatible hosted providers like **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral**
- **Hugging Face** hosted models
- Local models via **Ollama, vLLM, LM Studio**, etc.
- Even your own GPU server with an OpenAI-compatible endpoint

In most cases, since the course code uses the OpenAI client, you only need to change:
- the **`base_url`**
- the **API key**
- the **model name**

So yes, you can swap OpenAI for something else in the RAG module.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"If my region blocks the provider used in the course, what are the easiest alternatives I can use instead?","The easiest alternatives are:

- **Any OpenAI-compatible hosted provider** such as **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral**.  
  Usually you only need to change the **`base_url`**, **API key**, and **model name**.

- **A local model** using **Ollama, vLLM, or LM Studio**.  
  This avoids external API calls, so regional blocks don’t apply.

- **Hosted open-source models** via **Hugging Face**.

If the block is only network-level, **using a VPN** can also work.

If you want, I can also suggest the **simplest option based on whether you want local vs hosted**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Do I need to rewrite the course code if I use Groq, OpenRouter, DeepSeek, Gemini, Mistral, or another OpenAI-compatible API?","No. If you use Groq, OpenRouter, DeepSeek, Gemini, Mistral, or another OpenAI-compatible API, you usually only need to change the `base_url`, API key, and model name.

That said, if the course code uses newer Responses/tool-calling patterns, you may need to adapt parts of the code for response formats, tool schemas, or function calls.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Is it okay to run a model locally with Ollama, vLLM, or LM Studio for the assignments, and will that still work with the course notebooks?","Yes — you can run a model locally with Ollama, vLLM, LM Studio, or another locally served model for the assignments. The course is not tied to OpenAI.

This will still work with the course notebooks as long as your local model exposes an OpenAI-compatible endpoint or you adjust the `base_url`, API key, and model name accordingly. The course code usually only needs that small change.

So in short:
- **Local models are okay**
- **Course notebooks should still work**
- **You may need to change `base_url` and model settings**

If you want, I can also show the exact notebook changes for Ollama, vLLM, or LM Studio.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"What should I use if I want a hosted open-source model like Qwen or Llama, or even a private endpoint on my own GPU machine?","Use a hosted OpenAI-compatible provider or serve it yourself.

For a hosted open-source model like Qwen or Llama, you can use **Hugging Face hosted models**.  
For a private endpoint on your own GPU machine, you can **rent a GPU and serve the model with vLLM** or a similar tool.

Anything with an **OpenAI-compatible endpoint** will work with the course code.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"What exactly do tools or functions mean in agentic RAG, and why do people use both words?","In agentic RAG, **tools** and **functions** mean almost the same thing in this course.

A tool/function is something the model can **call when it needs outside help**, for example:

- searching documents
- querying a database
- calling an API
- running a calculation

The key difference from basic RAG is that in **agentic RAG the model decides when to call the tool/function**. In basic RAG, retrieval is usually a fixed step that happens before the model answers.

People use both words because different libraries and frameworks prefer different naming, but **you do not need to worry much about the distinction**.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
When does the model decide to call a tool in an agentic RAG setup?,"In an agentic RAG setup, the model decides to call a tool when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
Can you give examples of the kinds of tasks a tool/function can handle for the model?,"A tool/function can handle tasks like:

- searching documents
- querying a database
- calling an API
- running a calculation

In agentic RAG, the model can decide when to call such a tool/function for external help.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
How is tool calling in agentic RAG different from the usual retrieval step in basic RAG?,"In **agentic RAG**, the model can **decide when to call a tool/function** if it needs external help, like searching documents, querying a database, calling an API, or doing a calculation.

In **basic RAG**, retrieval is usually a **fixed step that happens before the model answers**.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
"Should I worry about the difference between tools and functions, or are they basically the same thing here?","No—you don’t need to worry much about the distinction here. In this course, **tools and functions are closely related terms**.

The main idea is that the model can **call something external** when it needs help, like:

- searching documents
- querying a database
- calling an API
- running a calculation

So for this course, you can treat them as basically the same thing. The important part is the **model deciding when to use them**.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
