question,document
"In the LLM-as-judge part, how can I see the complete explanation output without truncation?",641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to scale each vector in a Pandas Series to unit length?,5039707c1a
How do I use NumPy norm to normalize a column of vectors in pandas?,5039707c1a
Can I apply a function to a DataFrame column to divide each vector by its L2 norm?,5039707c1a
What’s the pandas way to create a new column with normalized vectors from an existing one?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to calculate the 0.75 quantile for a Series?,b4c8ac5a0c
How can I compute a column percentile in Pandas without writing custom code?,b4c8ac5a0c
Is there a built-in function to find the 75% quantile of a DataFrame column?,b4c8ac5a0c
How do I use Pandas to return the percentile value for one column?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes using the terminal?,66ccbb7da0
Is there a quick way to clean up all containers and images in Docker from the command line?,66ccbb7da0
"What commands should I run to fully clear Docker containers, images, and volumes?",66ccbb7da0
How do I stop the feedback buttons from being clickable more than once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep turning back to True after I press +1 or -1?,2e729f1271
"In Streamlit, how can I make the feedback buttons disabled until a new ask submission happens?",2e729f1271
What’s the fix for a session state variable getting reassigned after one of the feedback buttons is clicked?,2e729f1271
Is there a known solution for Streamlit session attributes being reset or reassigned when handling user feedback?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I run my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to start a Streamlit container with an OCI runtime error?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app to run properly in docker-compose?,e8df9f0d12
How can I fix the container startup error for Streamlit inside docker-compose?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I use to rebuild and launch everything again?",e8df9f0d12
"Is the capstone supposed to be done solo, or can we submit it as a group?",0fab61eca2
Can I talk through the project idea with other students and still submit my own version?,0fab61eca2
"If we build one bigger system together, can each person hand in their own part separately?",0fab61eca2
What happens if multiple students work on the same project but there’s no way to grade each person independently?,0fab61eca2
"Does each capstone submission need its own repo and standalone component, or can one shared repo cover everyone?",0fab61eca2
"Do I have to submit two capstone projects, or is one enough?",d5fc98925d
What does attempt 1 vs attempt 2 mean for the project submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and send it again?",d5fc98925d
"Can I submit a second project just for practice, and if so does it need a different dataset and problem?",d5fc98925d
"If I miss the first submission deadline, can I still submit in attempt 2 and keep it valid for certification?",d5fc98925d
"Is the competition considered the capstone project, or are they separate?",e892d44e42
Can I use the math-kaggle-llm-competition as my capstone submission?,e892d44e42
"If I join the competition with a team, does that count toward the capstone?",e892d44e42
Does participating in the competition replace the individual capstone attempt?,e892d44e42
Is the capstone project supposed to be done alone even if I enter the competition with others?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Will I need to score other students’ capstone projects too?,9a2e2d2008
What happens if I don’t complete the required peer reviews?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
When do we get assigned the projects for review and grading?,eae0fb50aa
How are the review projects distributed after the deadline?,eae0fb50aa
Will each participant be assigned the same number of projects to grade?,eae0fb50aa
What happens with project assignments once the submission deadline is over?,eae0fb50aa
How many projects should I expect to review in the capstone project?,eae0fb50aa
"I already turned in my capstone project, but why don’t I see anything to review yet?",a8a7fef016
When do the project reviews actually get assigned after submission closes?,a8a7fef016
"Am I supposed to pick which submitted projects I evaluate, or is that decided for me?",a8a7fef016
Why am I unable to start reviewing projects before the review list is out?,a8a7fef016
"I submitted my project already, so what am I waiting for before I can review others?",a8a7fef016
Where can I look for project ideas and dataset suggestions for the capstone?,e76a70cde3
Is there a page with a list of possible datasets I can use for the project?,e76a70cde3
I’m stuck on choosing a topic — do you have any ideas or resources for the capstone project?,e76a70cde3
Can I find tips and guidelines for picking a dataset somewhere for this project?,e76a70cde3
What’s the best place to check for example ideas and datasets before starting the project?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
Will I lose points if my data ingestion for the capstone is done in a Jupyter notebook instead of a script?,d4f7c08ea1
"For the ingestion pipeline part of the capstone, is an orchestrator required to get full points?",d4f7c08ea1
When would it make sense to use an orchestration tool in the capstone instead of just plain Python?,d4f7c08ea1
"If I only have a notebook that ingests and indexes the data, how many points can I get for that criterion?",d4f7c08ea1
How can I test a recommender RAG if I don’t have obvious ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic labels for evaluating item retrieval in my project?,9b0e2d6a47
Can I use an LLM to judge the quality of RAG results instead of exact answers?,9b0e2d6a47
"For ranking-type retrieval, which metric works better than just hit rate?",9b0e2d6a47
"If several items could be valid results, how should I score the ranking more fairly?",9b0e2d6a47
How should I chunk a big corpus with long PDFs and lots of paragraphs if I don’t want to overthink it first?,6f2a8b3d10
"Is it okay to start with simple fixed-size chunks, like around 1000 tokens with overlap, before trying smarter methods?",6f2a8b3d10
Would it help to use an LLM to break each document into logical sections instead of plain token chunking?,6f2a8b3d10
"Should I add short summaries to each chunk, and can that improve retrieval when I index them?",6f2a8b3d10
"For long structured docs like legal or financial files, is hybrid search with BM25 plus dense embeddings a better choice?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I let someone rebuild the search index from my repo without giving away credentials?,e5d8a2c761
"Do I need to include real keys in the project files, or is there a safer way to handle environment variables?",e5d8a2c761
What should I put in .env.example for the project so others can run it on their own?,e5d8a2c761
How can I make sure my capstone is easy to reproduce with the right dependency versions and tools?,e5d8a2c761
"Can I do the homework in a language other than Python, like JavaScript or Go, or is Python required?",ea815eb858
"For the final project, is it okay to use Rust, Java, or another stack instead of Python?",ea815eb858
"If I submit a non-Python solution, what kind of README or setup instructions do I need to include?",ea815eb858
How detailed should the install and run steps be if my project is not in Python?,ea815eb858
"Will reviewers accept a project built with a different language, like C# or TypeScript, as long as it is easy to run?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with submitted LLM Zoomcamp project repos from earlier years?,930286278d
Can I check examples of previous capstone submissions before starting my own project?,930286278d
Do you have links to old LLM Zoomcamp projects for 2024 and 2025?,930286278d
"What kind of scope and quality should my capstone match, and can I see sample submissions?",930286278d
Do I have to reserve my capstone project idea before I start working on it?,897a350476
Should I announce my project topic somewhere before building it?,897a350476
"Can I get feedback on my project idea in Slack, or is that not allowed?",897a350476
Is it okay if my project is similar to one from a previous year?,897a350476
"Do I need a totally unique topic for the capstone, or can I do the same kind of idea if my work is original?",897a350476
Can I build my capstone as a WhatsApp or Telegram bot instead of a web app?,7318a90b14
"Is there any required interface for the project, or can I choose whatever fits my idea?",7318a90b14
"Would a CLI, Slack app, or notebook be acceptable for making the project usable?",7318a90b14
"Do I have to follow a specific way to present the app to users, or is that up to me?",7318a90b14
"If I use a chatbot or messaging app for the project, is that still okay as long as it meets the grading criteria?",7318a90b14
What are some good tools to pull text out of PDFs for a RAG app?,d8b28c47a0
"If my PDFs are scans with no text layer, what should I use to get the text?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document extraction in the capstone project?",d8b28c47a0
"Is there a recommended OCR option for image-based PDFs, or can I use any tool that works?",d8b28c47a0
How do I choose the best PDF/text extraction tool before chunking docs for RAG?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class exercises?",d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to use this workshop material in another project too?",d850a0e7ea
"Is it okay to take what we learned here and apply it to a different Zoomcamp project, like MLOps?",d850a0e7ea
"Do you recommend using dlt outside this workshop, or is it mainly meant for the workshop tasks?",d850a0e7ea
"If I have questions while using these materials in my own project, is it fine to ask about that?",d850a0e7ea
How do I start a new dlt project for loading files from cloud storage into DuckDB?,6bceeebf04
What command should I run to initialize a dlt filesystem project with duckdb?,6bceeebf04
Is there a quick setup command for a dlt pipeline that reads from the filesystem and loads into DuckDB?,6bceeebf04
How can I create a fresh dlt project for cloud file ingestion?,6bceeebf04
Where should I begin if I want to set up dlt to load data from files into duckdb?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name, but the pipeline still says the table is missing — what did I miss?",0407213397
How do I fix the `FileNotFoundError` when opening `notion_pages___homework` in the dlt workshop?,0407213397
"If `db.open_table(""notion_pages___homework"")` fails, is there another setting I need to update besides the table name?",0407213397
What does it mean when the error tells me to call `db.create_table(...)` for `notion_pages___homework`?,0407213397
Why am I getting FileNotFoundError saying table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
"In the open-source data ingestion homework, how should I open the Notion pages table so I don't get the create_table error?",e95bfafc0e
"My script crashes with db.create_table(notion_pages___homework, data) needed — which table name should I use on line 3?",e95bfafc0e
What is the correct db.open_table call for the notion_pages___homework table in the workshop notebook?,e95bfafc0e
How do I fix the missing table error for notion_pages___homework when running main()?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all tables from the db?,e394e6f738
What method should I use to check the table names?,e394e6f738
How do I find out which tables were created in the database?,e394e6f738
Can I get a list of every table in the db using dlt?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are they still missing?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
"Are there any built-in DLT connectors for ClickHouse and StarRocks, or do I need another approach?",cd19f122f3
"If DLT doesn’t support ClickHouse or StarRocks yet, can the community add them?",cd19f122f3
Is it possible to contribute new DLT connectors for ClickHouse or StarRocks?,cd19f122f3
Why am I getting a 401 Unauthorized error when my notebook calls the Notion search endpoint?,0dfba07ace
"How do I fix the ""Notebook does not have secret access"" problem with the Notion API?",0dfba07ace
"Could this be caused by a bad or expired Notion token, and how can I check that?",0dfba07ace
What should I verify if the Notion API request keeps failing with authorization errors?,0dfba07ace
Is there something I need to change in the endpoint or access settings so the Notion notebook can authenticate correctly?,0dfba07ace
"Why does pip keep installing requests 2.28 when lancedb needs 2.32, and how can I force the right version?",4b30b918bc
I’m getting a 401 Client Error during install — does that mean my key is wrong or I need to grant access?,4b30b918bc
What’s the command to install requests v2.32.3 straight from the source zip instead of the default package?,4b30b918bc
How do I fix the requests version mismatch when setting up lancedb in the dlt workshop?,4b30b918bc
"If my install grabs an older requests release, what exact pip line should I use to pin it to v2.32.3?",4b30b918bc
